"SK_ID_PREV","SK_ID_CURR","NAME_CONTRACT_TYPE","AMT_ANNUITY","AMT_APPLICATION","AMT_CREDIT","AMT_DOWN_PAYMENT","AMT_GOODS_PRICE","WEEKDAY_APPR_PROCESS_START","HOUR_APPR_PROCESS_START","FLAG_LAST_APPL_PER_CONTRACT","NFLAG_LAST_APPL_IN_DAY","RATE_DOWN_PAYMENT","RATE_INTEREST_PRIMARY","RATE_INTEREST_PRIVILEGED","NAME_CASH_LOAN_PURPOSE","NAME_CONTRACT_STATUS","DAYS_DECISION","NAME_PAYMENT_TYPE","CODE_REJECT_REASON","NAME_TYPE_SUITE","NAME_CLIENT_TYPE","NAME_GOODS_CATEGORY","NAME_PORTFOLIO","NAME_PRODUCT_TYPE","CHANNEL_TYPE","SELLERPLACE_AREA","NAME_SELLER_INDUSTRY","CNT_PAYMENT","NAME_YIELD_GROUP","PRODUCT_COMBINATION","DAYS_FIRST_DRAWING","DAYS_FIRST_DUE","DAYS_LAST_DUE_1ST_VERSION","DAYS_LAST_DUE","DAYS_TERMINATION","NFLAG_INSURED_ON_APPROVAL"
1891648,100373,"Consumer loans",10872.99,115695,115119,11569.5,115695,"SATURDAY",22,"Y",1,0.099458413926499,NA,NA,"XAP","Approved",-1053,"Cash through the bank","XAP","Unaccompanied","New","Medicine","POS","XNA","Stone",25,"Industry",12,"low_normal","POS household with interest",365243,-1013,-683,-713,-709,0
2670402,100077,"Cash loans",NA,0,0,NA,NA,"WEDNESDAY",14,"Y",1,NA,NA,NA,"XNA","Refused",-217,"XNA","HC","","Repeater","XNA","XNA","XNA","Credit and cash offices",-1,"XNA",NA,"XNA","Cash",NA,NA,NA,NA,NA,NA
1539382,100425,"Consumer loans",13410.27,120357,133065,0,120357,"FRIDAY",15,"Y",1,0,NA,NA,"XAP","Approved",-589,"Cash through the bank","XAP","","Repeater","Consumer Electronics","POS","XNA","Country-wide",2226,"Consumer electronics",12,"middle","POS household with interest",365243,-558,-228,-378,-351,0
1614986,100151,"Cash loans",6535.8,45000,55075.5,NA,45000,"WEDNESDAY",13,"Y",1,NA,NA,NA,"XNA","Approved",-1041,"Cash through the bank","XAP","Unaccompanied","New","XNA","Cash","walk-in","Credit and cash offices",-1,"XNA",12,"high","Cash Street: high",365243,-1011,-681,-681,-672,1
1111156,100667,"Consumer loans",12739.32,68490,72108,0,68490,"WEDNESDAY",11,"Y",1,0,NA,NA,"XAP","Approved",-260,"XNA","XAP","","Repeater","Furniture","POS","XNA","Regional / Local",2880,"Furniture",6,"low_normal","POS industry with interest",365243,-229,-79,-79,-74,0
1801757,100916,"Consumer loans",11468.7,100323,110916,0,100323,"MONDAY",16,"Y",1,0,NA,NA,"XAP","Approved",-432,"XNA","XAP","","New","Computers","POS","XNA","Country-wide",2170,"Consumer electronics",12,"middle","POS household with interest",365243,-401,-71,-131,-125,0
2685304,100307,"Cash loans",NA,0,0,NA,NA,"THURSDAY",15,"Y",1,NA,NA,NA,"XNA","Canceled",-144,"XNA","XAP","","Repeater","XNA","XNA","XNA","Credit and cash offices",-1,"XNA",NA,"XNA","Cash",NA,NA,NA,NA,NA,NA
2227969,100201,"Consumer loans",3828.555,38610,29610,9000,38610,"THURSDAY",19,"Y",1,0.253867344776436,NA,NA,"XAP","Approved",-2424,"Cash through the bank","XAP","Family","Repeater","Mobile","POS","XNA","Country-wide",31,"Connectivity",10,"high","POS mobile with interest",365243,-2393,-2123,-2123,-2120,0
2034342,100279,"Cash loans",NA,0,0,NA,NA,"THURSDAY",19,"Y",1,NA,NA,NA,"XNA","Canceled",-382,"XNA","XAP","","Repeater","XNA","XNA","XNA","Credit and cash offices",-1,"XNA",NA,"XNA","Cash",NA,NA,NA,NA,NA,NA
1465837,100587,"Cash loans",16632.405,135000,162315,NA,135000,"FRIDAY",14,"Y",1,NA,NA,NA,"XNA","Approved",-433,"Cash through the bank","XAP","","Refreshed","XNA","Cash","x-sell","Credit and cash offices",-1,"XNA",12,"middle","Cash X-Sell: middle",365243,-403,-73,-73,-67,1
1921372,100527,"Consumer loans",5420.115,50890.5,40720.5,10170,50890.5,"MONDAY",18,"Y",1,0.217644836373283,NA,NA,"XAP","Approved",-1507,"Cash through the bank","XAP","Unaccompanied","New","Computers","POS","XNA","Country-wide",2326,"Consumer electronics",10,"high","POS household with interest",365243,-1475,-1205,-1205,-1200,0
1248695,100980,"Consumer loans",9746.865,128340,148671,0,128340,"SATURDAY",10,"Y",1,0,NA,NA,"XAP","Approved",-519,"Cash through the bank","XAP","","Repeater","Computers","POS","XNA","Regional / Local",150,"Consumer electronics",18,"low_normal","POS household with interest",365243,-488,22,365243,365243,0
1986247,100124,"Consumer loans",7598.34,62491.5,62491.5,0,62491.5,"SATURDAY",20,"Y",1,0,NA,NA,"XAP","Approved",-312,"Cash through the bank","XAP","Unaccompanied","Repeater","Mobile","POS","XNA","Country-wide",50,"Connectivity",12,"high","POS mobile with interest",365243,-278,52,-98,-94,0
2013941,100553,"Consumer loans",8075.7,74610,72688.5,7461,74610,"SUNDAY",15,"Y",1,0.101381883514274,NA,NA,"XAP","Approved",-2746,"Cash through the bank","XAP","Other_A","New","Photo / Cinema Equipment","POS","XNA","Country-wide",1500,"Consumer electronics",10,"low_normal","POS household without interest",365243,-2715,-2445,-2535,-2529,1
1824766,100891,"Consumer loans",11236.86,106713,106713,0,106713,"TUESDAY",14,"Y",1,0,NA,NA,"XAP","Approved",-1236,"Cash through the bank","XAP","Unaccompanied","New","Furniture","POS","XNA","Stone",300,"Furniture",10,"low_action","POS industry without interest",365243,-1191,-921,-981,-972,0
2359184,100067,"Cash loans",16164,450000,450000,NA,450000,"WEDNESDAY",12,"Y",1,NA,NA,NA,"XNA","Refused",-496,"Cash through the bank","HC","Family","Repeater","XNA","Cash","x-sell","AP+ (Cash loan)",4,"XNA",48,"low_normal","Cash X-Sell: low",NA,NA,NA,NA,NA,NA
1115278,100422,"Revolving loans",NA,0,0,NA,NA,"TUESDAY",12,"Y",1,NA,NA,NA,"XAP","Canceled",-337,"XNA","XAP","","Repeater","XNA","XNA","XNA","Credit and cash offices",-1,"XNA",NA,"XNA","Card Street",NA,NA,NA,NA,NA,NA
1158695,100281,"Cash loans",19021.005,360000,420912,NA,360000,"MONDAY",11,"Y",1,NA,NA,NA,"XNA","Approved",-969,"Cash through the bank","XAP","Unaccompanied","Repeater","XNA","Cash","x-sell","AP+ (Cash loan)",6,"XNA",36,"middle","Cash X-Sell: middle",365243,-939,111,-339,-314,1
1974762,100944,"Cash loans",51334.695,810000,893398.5,NA,810000,"FRIDAY",12,"Y",1,NA,NA,NA,"XNA","Approved",-931,"Cash through the bank","XAP","Spouse, partner","Repeater","XNA","Cash","x-sell","Credit and cash offices",0,"XNA",36,"high","Cash X-Sell: high",365243,-901,149,-601,-593,1
